Key,English,Ukrainian
PROPQUEST_SCENARIO_INC_000299,Prologue,Prologue
PROPQUEST_SCENARIO_INC_000304,Questioning,Questioning
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?","Hmm... What should I do? Hey, can you help me?"
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.","I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to."
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?","I am studying recent history, but it is really hard. So would you please help me? Please?"
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,What? Awww I knew it was too good to be true.
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.","Oh, it seems like Martinyc is too busy to deliver her own applications."
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,May I help you? You want to fill out an application? The form is on the right side of the office.
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,Go to the office and deliver a scholarship application to the Mayor.
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,Cracked Continent
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.","Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted."
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,Will you help me regardless of the danger?
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.","I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these."
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,"Дякую, що вислухали мене. Я зрозумію, якщо ви не бажаєте ризикувати своїм життям."
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,Hmm... This is exactly what I expected. I will study these some more but before you go please...
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.","...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you."
