Key,English,Ukrainian
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Collect Twinke Stone by hunting Aibatt.
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Deliver it to Magician Instructor Lopaze.
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Deliver it to Acrobat Instructor Tailer.
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Get rid of Ren from Iblis Temple located southern part of Saint Morning.
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Get rid of Sisif and find Soulstone of Hero.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Get rid of Venel Guardian and find Venel Heart.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Get rid of Rubo and find Letter of Hynan.
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Get rid of Prankster and find History Book of Heroes.
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Deliver Earring of Heren to Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Get rid of Shacalpion and find Tear of Darkness.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Get rid of Kidler and find Clue of Golden Helmet.
QUEST_DESTINATION_0018,Meet Kurumin.,Meet Kurumin.
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Defeat the wheelem and get the soul stone.
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Defeat the hoaren and get the Hall Document.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Defeat the steam walker and get the poster of skill(Master)
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Meet Segho and give him the Hall Document.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Defeat the Ren and get the Seal of Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Meet Tesar and give him the Seal of Aenn.
