Key,English,Ukrainian
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,A request for Grrr Bandages has gone out.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,A request for Amperes has gone out
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,A request has gone out for Boopoison to make an antidote. Will you help?
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,A request has gone out for $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,A request has gone out for Rootioe to be used as woodworking material. Will you help?
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,You can collect Unknown Certificates near the Bangs.
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,You can collect nyanyang near the Giant Nyangnyang.
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,You can collect the office documents near Mias.
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,You do not want to collect them? Okay.
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,You need more $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,You do not have enough $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Well done. You have successfully completed the quest.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,Good Job! You successfully completed the quest. Take this for your trouble.
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ was happy that the quest was completed.
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ was happy to see the quest completed.
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,Party of Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Is needs you to gather Chupim for her party. Will you help?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Is asking you to collect Chupim for her party.
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Unknown Situation (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,Flaris Pang needs you collect unknown letters. Will you help?
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,Flaris Pang needs you to collect Unknown Certificates. Will you help?
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Flying Board
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Dior needs you to collect Peakyrinds. Will you help?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Dior wants you to collect Peakyrinds.
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Fresh Start for Mop
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,House of Children needs you to collect Mop for their children. Will you help?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,House of Children wants you to collect 3 Mop.
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Gems for Wands
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,Madrigal Magician Union wants you to collect 4 Poporam.
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget","Cookie Machine, Valin Baget"
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,Valin needs you to collect Slain for his cookie machine.
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Magic Quill
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?
